A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S
907	499	534	562	80	739	533	360	385	964	2	547	895	682	946	687	474	138	86
238	186	650	723	710	866	150	510	171	59	682	321	813	229	492	508	369	636	738
482	499	888	170	785	420	723	601	938	73	896	528	886	477	691	1000	234	123	197
833	126	321	874	30	46	690	968	722	380	10	54	407	523	719	282	517	757	146
746	998	364	721	123	305	777	274	357	230	977	33	522	508	222	873	870	256	363
475	302	79	28	734	600	244	373	461	984	5	201	628	339	923	408	701	158	207
984	313	385	708	624	354	527	497	91	602	962	566	462	658	773	577	638	70	371
785	705	905	751	830	840	701	812	378	980	960	673	618	586	58	298	14	166	24
320	449	269	126	764	951	79	157	382	977	509	557	78	928	974	240	201	777	778
815	223	69	857	959	368	99	657	882	936	685	102	57	194	265	31	118	601	216
607	533	923	992	616	513	87	408	549	237	926	942	841	636	42	668	672	223	219
607	54	321	492	511	835	29	684	697	779	316	287	484	494	49	592	733	425	951
389	613	355	663	671	857	678	64	684	755	15	3	804	297	739	98	863	815	256
744	867	330	933	365	108	82	451	638	563	648	338	301	431	662	968	825	132	113
793	218	285	561	157	376	621	683	558	403	832	222	747	637	920	928	133	910	647
273	590	666	837	411	920	612	339	881	939	810	818	425	858	390	565	630	928	687
326	573	726	870	26	685	240	337	914	710	860	621	508	152	901	750	924	63	162
220	141	186	286	929	192	718	723	594	981	41	630	486	947	734	610	396	153	696
472	634	244	153	892	977	165	70	860	658	719	804	913	640	43	675	971	46	145
560	825	142	219	414	463	83	128	76	235	879	332	920	46	492	504	886	877	707
742	399	377	432	978	735	9	183	5	223	620	547	932	10	46	990	426	184	635
422	817	820	905	1000	557	732	538	494	659	460	681	449	729	9	282	603	51	589
579	821	67	475	653	214	35	866	847	884	859	38	873	342	891	135	778	321	747
92	87	550	886	945	168	962	911	840	817	756	422	410	999	558	814	107	718	278
648	893	568	408	153	922	983	996	971	771	631	655	686	139	437	650	376	112	943
10	9	587	668	806	415	504	202	262	932	678	264	617	514	406	941	405	646	782
716	306	112	673	467	372	69	200	438	195	646	829	325	258	940	178	670	977	291
402	737	173	168	589	597	753	972	54	503	620	999	273	12	472	170	191	647	848
173	171	901	617	131	90	3	240	169	694	392	671	99	16	106	749	500	230	429
0	534	545	812	448	263	219	810	637	742	589	532	31	334	583	84	982	497	134
959	385	445	968	903	345	308	899	603	790	235	168	64	400	453	514	796	642	825
60	185	826	613	484	312	779	437	135	23	873	307	849	128	726	929	979	918	172
187	504	258	79	712	444	765	311	588	21	746	877	882	47	242	864	20	240	202
146	882	650	663	545	753	700	936	649	111	300	562	908	825	1000	308	859	13	264
259	817	276	411	538	906	714	628	818	907	467	510	810	978	536	687	576	953	571
364	75	0	51	874	550	115	835	363	859	905	200	674	183	195	36	203	747	324
439	555	236	761	342	259	202	820	540	5	808	471	647	728	160	990	113	477	27
207	674	614	304	299	386	448	332	84	18	635	286	197	890	487	375	542	379	282
37	596	382	500	496	652	452	204	663	44	709	719	625	12	169	187	230	264	831
460	614	368	910	501	642	644	385	749	357	10	943	5	152	852	864	53	365	707
657	25	619	359	288	263	638	653	11	557	523	436	859	748	227	884	191	328	712
616	651	969	285	568	7	375	665	929	19	398	514	118	746	141	442	357	380	849
436	885	321	348	18	123	381	124	532	632	488	30	177	311	977	326	564	821	364
730	773	683	244	318	682	33	323	481	367	111	731	662	456	343	671	862	271	181
244	884	262	90	732	579	529	99	609	28	456	187	12	349	489	293	971	435	656
217	651	767	834	252	839	736	21	218	833	329	178	607	361	851	237	830	902	398
100	566	384	495	402	39	281	753	800	602	598	888	581	607	113	352	616	298	567
560	325	421	495	692	195	11	687	831	780	330	967	46	535	663	135	678	409	553
141	137	960	355	66	156	444	716	254	23	983	335	198	739	41	977	289	170	846
91	535	373	52	864	230	73	779	269	65	877	82	999	641	962	470	27	451	206
461	227	706	348	488	814	763	420	346	402	684	479	87	111	921	326	898	630	211
962	58	548	483	939	186	530	434	89	996	575	60	913	78	620	930	731	472	629
931	839	870	183	228	489	705	542	581	614	527	990	801	984	175	120	453	14	422
909	794	404	781	603	760	459	361	896	208	970	447	571	477	918	692	135	750	691
207	408	39	416	87	851	12	688	327	613	917	568	55	876	698	762	714	210	878
495	526	487	846	985	198	774	854	794	615	274	544	745	807	414	738	680	850	959
959	724	953	513	157	294	797	412	687	443	312	758	446	625	224	231	272	410	284
286	995	56	921	854	960	406	680	783	940	541	887	862	847	380	552	893	125	405
508	481	173	838	123	199	428	521	990	975	957	872	209	959	48	62	478	143	533
263	213	403	82	591	205	782	47	291	863	693	153	384	338	767	812	563	907	484
419	193	717	610	260	251	761	9	244	190	98	29	294	144	531	888	166	682	570
699	208	751	453	658	805	229	649	33	663	967	837	832	73	550	682	4	333	842
801	179	833	960	345	764	485	705	146	663	90	558	890	397	970	28	404	962	9
413	828	621	402	637	265	673	66	849	679	761	654	549	293	287	664	433	272	951
766	143	650	615	194	968	79	37	923	632	651	252	407	606	636	853	962	696	165
266	241	433	575	148	336	875	510	634	995	312	765	533	457	348	992	963	178	530
782	355	945	858	35	993	442	339	488	733	116	293	631	341	120	252	669	52	338
337	570	48	484	739	576	131	357	714	503	585	642	270	85	34	890	738	185	152
163	228	174	701	48	435	894	387	419	266	578	73	942	183	294	335	841	585	672
485	681	574	994	738	412	530	787	222	452	621	253	959	230	348	541	17	355	577
96	460	586	948	525	542	212	497	366	942	839	896	649	206	698	107	437	243	198
495	198	827	344	620	525	805	360	949	201	348	235	922	78	96	720	499	686	934
121	966	322	524	154	383	793	239	659	853	577	364	63	242	915	454	488	11	635
82	812	347	849	455	937	861	248	629	264	11	444	624	356	165	463	383	744	354
824	130	381	140	906	979	566	644	968	199	220	967	713	722	601	475	39	322	576
260	626	115	863	923	573	30	719	449	684	140	892	256	141	734	83	127	3	657
461	169	772	416	546	3	556	448	891	173	660	198	276	876	29	590	656	806	382
129	462	46	391	194	354	965	899	378	139	672	66	146	468	921	924	660	826	447
23	685	61	619	101	508	957	705	900	506	348	654	116	822	893	377	876	890	385
905	78	89	383	606	380	934	15	10	479	335	91	311	338	747	427	939	729	113
886	477	397	253	424	535	338	410	78	357	0	383	325	304	468	929	315	225	361
17	199	946	263	648	147	281	505	96	16	691	204	257	175	428	611	51	769	997
382	288	964	325	701	832	693	604	181	432	268	128	617	168	975	797	119	822	662
150	463	576	374	772	677	166	4	240	582	612	910	227	770	913	98	66	265	838
45	309	563	922	29	453	725	709	335	972	717	10	473	820	730	986	71	190	714
803	379	610	655	254	892	383	560	834	691	201	864	264	734	166	916	89	136	960
383	678	658	294	277	925	146	213	675	328	81	723	458	205	499	430	696	792	94
418	187	720	684	335	865	448	468	926	972	319	152	776	385	770	506	312	156	181
224	771	472	868	870	113	896	685	655	624	324	286	714	561	963	958	643	416	666
996	154	585	49	759	76	687	195	20	311	964	908	989	203	875	946	137	193	907
450	965	64	551	102	857	946	747	403	659	973	376	835	478	169	116	114	671	627
214	201	472	879	110	871	181	451	685	187	111	267	910	853	807	39	763	687	825
582	255	252	396	800	149	748	856	704	828	18	734	65	570	860	925	62	525	476
669	190	553	408	426	540	509	551	422	790	620	515	853	786	468	889	291	348	781
866	126	656	16	664	50	417	74	545	415	688	431	359	44	756	997	509	877	704
0	665	943	624	178	762	241	538	911	408	357	28	618	563	621	696	51	500	868
960	583	300	525	552	493	0	145	363	574	445	856	909	272	522	223	805	345	115
996	505	309	778	786	91	493	623	995	495	183	836	608	939	743	422	206	920	444
50	476	330	838	675	536	585	212	598	115	219	19	98	659	645	578	773	589	154
269	726	452	231	361	80	171	923	256	122	644	83	591	381	185	751	550	148	978
586	476	597	881	512	146	421	162	242	201	462	16	835	62	436	365	690	960	189
286	753	85	36	754	664	532	354	940	777	172	984	108	387	953	951	229	362	122
568	65	806	11	863	73	97	161	80	663	619	530	388	678	874	260	685	372	275
693	979	745	705	961	466	996	731	737	819	214	915	777	598	241	401	332	725	49
280	606	917	84	65	234	815	524	906	55	847	996	746	974	581	490	336	378	185
737	354	392	561	397	343	632	755	95	489	227	628	908	77	400	646	16	698	722
758	298	39	497	116	108	879	942	435	832	279	123	328	252	961	963	418	878	731
851	128	709	122	451	68	716	764	12	417	654	144	992	826	362	700	123	752	818
664	227	94	904	201	880	249	763	458	41	83	158	465	920	704	53	757	162	410
310	260	869	788	792	317	787	801	744	241	546	729	14	226	223	180	996	89	150
983	618	343	299	737	730	917	913	981	561	962	356	600	134	29	772	124	459	215
115	352	587	227	164	761	96	394	959	559	501	127	111	64	604	157	672	373	500
9	240	323	931	701	1	375	489	771	511	433	349	252	580	782	888	204	324	340
19	980	200	430	447	807	91	181	692	89	442	790	214	555	931	856	63	482	184
340	633	678	504	423	711	727	534	516	196	50	92	623	393	859	776	191	967	596
150	851	449	148	817	260	921	387	683	276	624	929	648	622	815	595	770	560	963
544	847	947	469	119	442	321	72	323	763	38	78	561	731	43	100	774	488	977
847	595	328	61	707	871	196	301	508	938	597	62	854	151	913	105	627	687	150
345	750	404	645	158	550	431	748	409	317	274	796	841	795	472	793	817	18	208
940	862	593	278	522	733	420	489	52	237	150	129	517	183	880	310	677	591	732
360	119	650	988	663	541	576	569	179	164	557	826	169	5	123	321	172	543	385
797	895	349	839	992	842	656	471	733	400	321	387	149	882	993	726	62	327	188
127	806	245	34	678	505	82	181	516	791	488	778	343	984	900	95	766	838	415
267	484	93	991	540	935	769	729	464	959	877	801	372	840	607	831	863	886	70
644	22	185	491	874	942	667	868	152	919	832	999	585	893	231	656	392	522	198
74	591	962	424	734	885	22	673	853	105	953	506	913	147	532	741	357	240	747
113	906	946	846	712	435	764	584	841	873	114	510	758	184	834	612	473	592	320
753	370	247	842	653	764	619	542	373	196	906	666	391	466	51	878	403	915	679
786	465	393	219	891	73	609	578	147	308	303	286	307	904	826	871	738	489	155
269	512	875	19	93	426	533	222	771	857	510	359	997	422	536	542	182	179	170
542	727	242	4	203	742	426	186	641	455	130	66	760	339	199	967	219	320	69
952	499	916	272	680	943	238	767	53	365	125	35	110	970	913	607	315	906	886
259	468	393	273	112	271	110	628	612	305	655	267	652	949	460	203	29	785	200
740	311	701	635	12	320	434	464	169	245	368	649	614	71	842	837	799	416	815
