A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S
348	643	307	615	91	963	0	809	953	102	779	745	287	146	247	974	491	269	559	848
861	27	587	326	627	249	142	419	184	17	715	613	599	322	22	772	309	571	359	308
556	299	488	735	804	168	544	570	373	51	648	970	903	460	779	747	42	592	75	957
449	907	214	235	249	691	224	689	32	195	465	113	769	424	959	874	540	188	742	294
841	108	316	527	181	128	458	341	109	495	692	478	935	101	273	115	745	458	205	986
849	111	380	517	691	424	90	887	185	800	982	822	164	958	981	426	257	891	506	992
895	4	451	475	789	370	399	896	953	907	579	116	98	844	316	268	799	782	902	464
824	251	315	886	690	451	392	775	417	687	57	655	125	873	981	470	399	86	236	86
933	233	860	393	393	78	171	113	496	167	239	323	590	366	881	601	430	720	313	434
159	698	330	216	747	43	910	877	281	270	812	91	794	826	605	871	968	455	543	769
99	488	17	915	589	127	517	483	589	201	211	319	313	360	194	324	68	151	801	899
855	85	204	857	811	921	866	481	365	94	235	504	115	659	767	212	99	410	226	250
194	778	699	651	105	4	212	938	60	647	652	884	693	224	735	684	45	145	607	427
163	220	60	313	957	541	487	202	914	658	324	728	154	487	974	784	133	186	468	428
400	720	249	429	951	146	705	58	332	847	735	849	117	935	268	897	132	642	259	458
616	83	911	481	64	156	597	860	768	47	6	94	916	62	165	448	513	575	527	397
843	88	40	328	409	747	737	987	93	414	943	598	159	146	312	675	369	85	343	34
405	62	919	902	475	196	539	131	79	540	868	722	247	342	500	66	50	875	839	477
283	596	529	404	861	674	434	816	936	293	486	710	82	827	50	262	338	840	385	504
21	500	92	588	379	758	800	565	699	331	248	80	67	690	123	951	820	391	209	572
210	586	640	764	706	179	827	43	76	637	329	813	15	612	987	992	403	420	159	380
882	175	202	731	208	715	387	451	34	142	250	933	75	126	687	177	9	994	526	624
885	222	584	821	145	247	622	193	709	572	830	443	426	788	336	632	599	26	602	228
298	986	768	789	534	351	591	839	578	434	368	642	3	609	650	205	656	186	136	805
714	794	746	806	543	22	919	100	932	141	471	526	743	528	991	992	511	39	510	884
443	66	932	909	511	248	3	463	302	471	125	446	825	545	293	425	781	16	481	770
746	430	93	678	279	171	323	116	467	259	462	539	199	931	55	428	200	824	54	753
296	589	146	72	515	495	243	665	319	894	676	888	309	826	63	878	197	199	1	458
134	471	492	336	338	979	859	292	271	670	504	869	722	893	513	225	527	143	642	712
547	885	292	255	450	637	242	844	741	249	900	577	67	375	332	423	712	917	510	377
459	500	317	929	489	534	40	186	767	4	420	788	868	560	787	30	461	539	986	19
251	549	80	947	263	399	778	709	957	654	747	806	414	591	89	552	583	161	195	362
671	147	862	136	438	387	399	823	545	512	755	199	98	381	297	501	293	579	289	164
885	873	439	920	372	811	927	206	737	724	252	83	348	697	684	640	245	331	947	831
99	304	832	988	720	303	436	171	617	303	526	666	116	307	84	714	506	203	781	592
340	978	985	818	921	632	481	744	61	652	675	201	478	655	774	687	680	63	612	264
193	462	293	882	806	863	872	138	619	669	797	240	642	856	878	515	619	205	739	237
386	936	796	906	951	529	209	586	70	864	958	721	718	342	826	920	559	785	983	801
700	900	204	156	89	553	285	697	526	300	388	225	969	557	953	798	137	921	477	531
110	446	908	369	943	321	137	96	11	446	907	142	577	411	925	967	67	994	12	993
893	929	505	850	612	191	502	744	41	269	973	701	732	622	44	430	29	741	109	926
374	170	258	219	797	184	942	525	486	142	54	118	540	687	798	723	264	633	8	77
402	967	223	252	252	51	209	777	911	692	187	942	821	207	943	93	949	45	105	610
348	505	887	589	577	276	414	456	337	751	553	177	401	532	357	68	378	882	704	921
479	379	759	621	602	523	831	248	924	959	459	786	819	672	572	594	317	923	63	325
419	494	863	719	793	480	380	298	770	798	996	920	577	758	821	246	882	546	132	647
494	114	184	361	750	558	624	593	62	759	747	206	755	257	462	60	527	368	135	776
473	59	505	19	834	817	296	829	65	670	276	727	425	266	467	740	808	519	183	725
424	862	759	464	763	269	304	284	551	550	4	644	897	654	315	333	69	712	694	614
388	382	795	19	782	827	113	454	847	232	301	243	454	946	46	53	256	612	83	330
804	399	765	497	847	610	847	899	287	303	345	989	805	827	755	232	716	449	375	659
150	549	583	862	549	968	318	523	710	805	242	843	106	886	431	139	815	492	567	961
204	801	349	334	681	11	450	90	796	984	630	71	344	193	536	267	576	732	97	397
698	362	850	451	302	329	486	166	245	575	498	787	119	268	568	630	253	794	387	685
701	660	533	70	899	416	92	518	540	866	348	471	782	975	110	61	284	203	77	38
606	503	329	316	197	642	260	944	411	43	946	996	105	336	183	892	746	918	320	330
821	878	755	238	760	624	154	590	567	7	930	95	76	921	226	632	105	625	943	328
913	818	708	460	804	498	807	342	433	488	711	260	541	860	625	884	770	2	698	706
764	315	23	118	156	936	720	789	287	907	667	354	257	836	724	816	107	748	434	831
996	906	773	392	35	400	43	943	810	113	811	4	942	457	697	422	723	561	919	877
893	677	924	650	529	20	462	653	857	508	996	346	359	919	326	946	153	253	702	753
410	0	839	257	882	398	523	739	875	687	700	509	220	107	736	132	611	94	823	231
619	564	960	453	622	779	567	149	251	577	923	928	960	891	973	333	291	358	843	745
770	926	97	360	994	889	249	885	237	559	290	185	901	121	284	164	5	443	483	733
150	46	721	743	542	118	254	243	734	509	771	132	834	507	853	715	339	459	284	271
833	243	211	440	890	351	986	489	496	906	742	104	342	874	803	603	346	510	64	160
982	367	928	456	545	457	745	258	339	325	869	272	205	700	398	184	62	442	135	921
395	276	469	256	358	79	148	766	903	207	462	967	856	424	286	586	657	421	27	384
948	139	56	883	940	544	24	644	174	502	902	185	914	742	659	481	275	122	537	870
8	948	516	782	247	716	32	741	168	298	758	114	789	0	688	148	665	859	667	153
70	14	861	676	377	35	668	993	600	495	110	821	995	137	863	431	688	279	500	316
729	164	830	300	936	322	970	143	554	600	718	435	817	392	886	822	476	624	396	938
241	266	62	193	755	266	177	942	638	596	924	246	919	720	895	305	761	683	506	705
970	379	146	702	308	727	694	371	719	864	656	376	100	879	247	285	580	989	8	120
838	233	917	364	312	369	742	630	549	321	636	516	13	289	837	157	298	806	481	359
638	823	67	481	738	370	571	629	754	379	280	129	508	104	955	147	111	884	54	599
624	478	43	662	559	109	34	420	560	810	586	302	301	122	193	343	201	783	287	630
608	554	620	517	371	991	281	103	991	532	844	639	901	687	253	466	492	796	229	713
601	328	447	125	769	685	503	766	981	241	22	826	980	829	24	839	639	336	348	293
278	846	98	739	544	856	764	444	135	409	59	141	130	458	810	551	852	802	87	203
2	334	774	999	185	289	328	355	949	584	208	856	207	669	454	86	918	285	413	320
230	728	751	511	622	181	816	231	227	39	335	842	642	152	33	415	635	785	608	935
313	507	977	556	582	85	899	182	11	602	907	83	756	846	525	993	522	461	117	211
259	224	11	375	836	645	948	936	734	49	925	901	838	421	475	981	519	163	982	301
674	163	236	991	893	558	305	800	418	558	268	791	950	224	805	269	202	103	27	837
62	646	402	794	1	634	825	335	173	42	402	855	96	780	250	570	941	325	920	480
385	596	219	357	425	331	243	777	144	595	818	435	783	220	116	553	981	542	232	959
670	894	331	273	864	504	178	719	968	30	669	972	899	578	660	802	593	726	185	743
859	13	244	372	693	805	797	191	959	12	476	143	365	820	485	71	615	501	312	586
827	717	84	713	901	790	531	555	168	380	609	442	79	417	510	358	900	863	51	72
474	546	65	901	734	208	37	445	200	621	807	375	840	719	706	483	739	682	278	603
348	913	241	631	303	51	12	379	89	838	497	975	451	834	275	692	581	492	94	758
512	13	885	618	156	759	698	669	376	276	776	134	135	834	748	625	543	895	114	201
710	789	612	177	469	618	85	328	646	326	148	679	178	786	324	919	531	562	424	388
944	286	844	168	615	267	190	477	908	409	635	451	112	88	959	370	813	900	468	837
294	794	443	547	83	54	769	923	665	211	624	187	96	637	839	341	287	287	228	647
978	236	261	285	3	412	6	190	823	685	756	687	711	387	776	519	942	398	920	641
786	942	607	327	348	238	180	498	938	578	97	363	276	510	842	236	795	924	93	824
909	833	305	491	854	733	510	887	704	646	884	173	731	872	168	812	983	843	257	81
286	344	937	532	871	337	87	802	877	461	281	452	822	916	870	604	535	381	561	991
469	826	474	379	102	452	343	942	950	241	560	984	854	710	536	583	198	554	439	61
931	962	941	248	204	194	352	205	902	926	766	898	768	685	14	831	448	623	945	968
796	355	254	138	157	208	371	967	774	182	344	480	370	255	45	910	363	703	899	388
599	13	400	85	365	677	332	589	574	44	353	327	878	895	735	323	649	216	229	537
482	495	644	583	519	737	141	874	208	463	955	556	23	973	899	11	233	973	208	386
346	263	667	510	439	752	47	607	501	733	962	529	935	986	832	46	372	235	210	594
447	333	92	2	960	522	323	977	880	944	229	153	402	965	763	274	964	297	809	115
445	384	231	530	984	515	968	529	887	753	135	487	731	511	897	88	679	617	613	3
853	860	992	142	288	674	190	839	105	600	3	777	620	943	375	649	786	69	95	829
898	472	536	728	937	151	295	92	49	309	108	748	765	451	245	501	674	552	431	665
880	903	151	895	16	622	630	778	369	534	555	284	851	388	218	343	332	987	274	281
696	355	988	105	731	458	544	682	770	941	714	979	752	660	473	496	620	863	768	480
456	825	566	396	412	616	792	393	825	349	990	482	906	286	738	70	572	285	852	9
582	173	187	769	427	601	383	856	756	625	322	496	555	105	709	104	419	760	750	578
507	146	982	782	17	714	937	214	835	872	543	487	832	883	767	401	669	179	539	819
4	853	215	982	783	356	491	868	170	280	176	157	871	710	175	982	98	676	669	102
637	255	395	246	142	195	281	821	955	694	475	109	728	49	235	382	8	740	702	116
479	53	147	359	24	709	469	679	362	39	850	178	677	822	349	164	699	50	878	42
185	974	552	907	948	673	843	259	545	87	256	140	237	523	66	156	339	523	284	102
428	896	581	301	848	609	960	540	178	867	208	139	482	911	553	879	636	392	818	761
358	335	718	769	623	269	913	63	875	276	640	965	515	890	881	236	593	51	146	2
809	834	917	949	403	549	705	551	428	882	76	582	108	817	428	374	243	351	853	309
109	91	892	690	781	770	522	899	509	314	37	698	923	52	216	284	879	211	227	590
577	244	845	12	167	377	949	359	308	126	105	249	732	654	189	40	44	114	61	317
471	184	886	673	523	837	526	363	683	647	916	488	613	137	194	735	426	859	663	40
526	725	457	224	997	288	807	771	902	641	669	831	228	195	913	457	119	936	370	951
514	859	464	993	365	293	86	828	426	547	252	597	853	528	945	70	188	748	686	296
230	608	406	765	576	901	609	848	738	905	464	356	960	605	706	806	165	469	213	327
162	564	817	530	60	540	806	183	988	775	957	761	776	766	404	690	366	91	395	377
800	636	876	597	675	519	496	561	465	52	580	820	87	932	530	315	889	996	595	70
625	766	970	796	847	620	916	811	970	617	916	192	117	622	859	327	997	670	316	728
462	295	157	606	268	229	82	437	183	101	116	920	321	499	599	372	273	192	257	884
634	227	797	761	917	387	624	918	922	742	171	254	606	145	478	10	150	269	158	211
666	714	166	304	285	283	817	277	625	389	151	16	815	541	53	801	828	525	791	61
871	883	809	959	478	927	467	892	177	318	570	281	294	743	195	139	307	266	83	707
659	32	802	356	127	435	535	26	942	915	444	537	447	593	625	791	11	748	150	143
608	37	842	667	487	377	201	837	71	164	163	818	259	868	999	83	206	233	30	962
247	118	956	566	111	220	904	474	367	460	557	976	607	727	626	669	401	316	252	769
300	876	243	46	413	166	73	627	399	698	175	796	675	260	658	71	547	311	274	725
8	756	196	66	411	414	269	436	432	10	814	868	271	912	944	556	581	240	245	662
111	316	358	124	926	857	594	897	310	352	19	98	280	759	181	675	584	775	288	794
352	33	317	242	867	826	926	63	207	745	581	336	369	313	918	502	964	871	569	639
452	114	551	55	85	401	726	620	593	189	383	877	326	509	157	463	61	768	736	531
159	115	991	334	218	382	748	182	121	101	106	6	74	856	921	175	121	55	978	348
122	814	22	120	556	785	288	38	344	204	907	428	313	610	366	756	165	496	117	600
41	652	945	402	92	975	719	126	562	189	149	733	704	661	681	463	631	465	564	555
937	180	883	686	937	570	519	6	455	473	442	569	177	162	562	319	525	556	539	969
786	277	660	684	607	934	59	462	683	866	764	436	836	330	660	853	995	320	85	567
508	422	930	996	419	235	170	248	578	313	841	250	527	446	34	188	114	20	841	601
540	943	260	339	692	19	906	374	659	176	884	12	71	451	208	69	988	434	204	290
70	259	143	455	148	417	275	395	766	92	247	685	863	53	673	420	589	419	680	579
93	508	528	136	540	308	135	728	752	91	716	448	958	294	71	298	740	380	67	602
