A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q	R	S
10	512	0	1	3	3	512	10	5	3	4	1	4	2	2	5	6	100	3
1	9	8	50	8	4	3	4	15	256	256	1	1	1	3	6	256	4	6
9	3	1	15	256	0	50	6	100	512	512	100	1	8	10	10	4	5	8
0	8	100	6	512	9	2	10	15	2	4	100	5	10	8	4	4	3	9
512	4	256	2	4	10	8	6	0	9	9	15	50	1	15	256	512	7	512
50	7	256	1	0	50	6	10	10	10	50	7	8	9	100	50	1	5	0
50	100	9	3	4	8	15	100	3	2	512	4	15	0	5	100	7	256	8
8	512	6	0	5	6	100	256	100	100	2	8	100	50	1	9	512	512	4
100	0	5	10	7	15	100	1	6	3	256	5	15	4	6	256	2	9	50
2	100	512	5	512	9	0	50	7	7	15	2	0	5	512	2	100	256	512
10	10	2	50	4	15	5	15	1	50	8	10	0	512	9	9	256	0	15
512	4	7	9	8	1	8	256	1	100	6	50	3	256	512	9	5	2	10
50	1	3	4	5	512	100	512	0	8	2	6	5	0	10	256	1	256	1
6	3	6	8	5	7	9	9	256	50	15	5	10	4	3	50	9	15	3
8	6	512	256	6	4	512	8	100	8	6	8	10	0	6	15	3	9	100
4	0	512	512	9	100	7	5	512	4	100	15	256	7	3	2	7	3	7
8	3	5	50	4	9	256	7	6	15	5	15	7	3	7	1	8	7	100
7	0	5	3	3	10	2	512	8	1	1	1	8	15	2	3	50	5	9
8	512	0	10	7	100	9	8	100	9	0	4	2	1	5	5	0	4	50
512	50	512	4	8	8	256	9	4	9	5	15	100	8	100	1	5	6	6
7	9	15	7	10	2	0	0	256	9	256	50	1	10	1	50	3	512	8
9	5	0	512	2	4	8	3	8	0	10	100	7	6	1	15	0	256	512
4	3	7	0	7	0	6	50	50	256	6	7	10	6	8	7	256	6	5
15	7	10	512	10	1	10	50	15	512	4	1	100	100	2	7	4	7	5
4	7	7	6	9	5	3	15	3	10	10	50	100	0	50	3	15	5	100
5	1	7	2	3	9	1	7	0	6	8	5	256	9	8	512	8	8	256
10	512	5	10	100	1	9	9	7	15	512	6	7	0	8	10	100	512	9
512	4	1	10	3	4	4	9	2	2	1	2	5	2	5	2	10	1	4
256	0	8	100	512	6	10	9	256	3	8	10	6	50	6	0	7	5	15
5	512	50	7	0	5	10	5	4	5	15	256	4	15	50	8	15	3	6
6	5	100	5	1	50	0	100	0	7	0	256	50	8	256	4	7	10	6
10	8	10	4	256	256	1	15	9	7	7	15	9	7	6	100	50	6	4
3	7	8	1	256	2	0	5	2	6	6	7	512	256	4	256	6	256	9
6	4	512	8	3	15	100	256	8	10	10	3	5	8	0	8	2	10	0
10	15	9	6	0	8	0	0	1	256	50	3	2	3	2	512	512	10	7
256	5	7	0	100	100	256	6	512	1	7	1	512	100	50	10	0	15	0
3	512	3	3	50	0	6	2	4	4	2	512	50	9	9	15	3	1	15
10	7	9	6	15	512	4	3	6	7	1	50	8	2	100	10	9	256	100
1	1	3	256	1	1	10	6	50	9	1	0	5	3	7	5	9	100	4
10	2	512	2	5	15	256	256	9	256	50	512	1	10	15	0	1	50	1
2	9	2	3	9	7	5	3	15	8	50	100	6	6	6	9	0	9	8
5	256	10	100	50	50	7	6	6	4	15	0	4	1	5	7	5	0	7
8	512	3	512	1	10	8	0	5	3	10	9	3	7	8	100	4	0	3
50	9	2	1	512	8	3	5	4	0	2	10	2	10	0	2	8	2	256
15	4	8	3	10	7	4	256	9	7	100	6	4	1	1	8	50	8	3
5	6	10	6	1	512	9	2	50	100	256	2	1	512	100	3	3	100	1
7	1	15	5	7	15	4	50	1	2	5	8	512	512	1	100	512	4	2
100	50	2	1	10	7	2	15	5	4	0	256	9	3	7	512	10	9	6
2	4	1	2	5	0	512	0	10	15	50	0	100	5	5	1	6	1	50
4	9	3	100	10	6	5	6	0	2	512	7	4	4	2	6	3	10	8
100	5	5	3	256	9	50	1	100	8	256	0	0	256	0	15	50	0	7
2	15	50	256	0	3	6	10	6	50	6	8	15	50	8	3	256	0	1
1	15	512	15	10	9	7	4	6	5	100	5	100	10	9	9	9	4	10
15	256	9	50	3	7	8	50	4	50	5	10	5	9	3	4	2	50	50
8	8	0	256	5	9	10	100	5	4	5	2	256	2	10	256	1	10	50
3	7	4	15	6	5	512	512	512	1	6	50	9	512	9	0	5	512	256
15	50	6	4	0	5	2	4	1	1	7	3	256	0	1	512	4	100	4
256	4	9	5	10	50	50	512	7	3	8	50	3	100	5	3	512	8	9
8	6	10	3	512	6	512	10	0	10	10	1	8	3	256	6	15	8	2
4	15	50	4	512	100	4	6	3	3	3	512	6	10	10	15	0	7	100
2	4	100	10	2	10	512	8	50	5	10	8	2	4	3	50	3	7	9
512	1	100	7	1	7	3	8	3	6	9	6	100	15	0	7	1	7	4
9	6	8	2	0	50	2	4	2	100	4	4	7	7	256	5	9	2	512
1	2	1	0	6	2	0	15	512	5	5	100	512	100	15	0	100	100	0
512	9	4	5	50	1	256	5	256	6	2	8	10	0	4	7	0	9	3
0	2	50	8	100	6	1	9	2	15	15	50	1	15	0	2	7	9	50
256	100	1	7	7	9	3	512	15	100	10	100	2	5	4	4	10	1	6
0	15	7	4	6	2	15	10	10	50	1	0	0	10	50	15	9	9	256
1	50	9	15	15	256	256	50	3	3	3	6	0	15	8	4	3	7	5
2	5	256	0	15	8	2	1	512	9	256	1	6	15	10	1	8	256	15
6	10	4	10	7	3	5	256	9	0	6	5	9	9	2	0	1	5	9
256	2	5	5	6	2	9	3	1	6	4	7	100	6	10	10	10	50	4
0	9	3	0	9	10	5	7	9	256	50	256	2	256	100	10	15	512	0
7	100	256	512	5	5	8	15	256	2	7	256	8	2	10	6	7	7	10
15	0	7	5	9	512	6	2	9	10	9	4	50	6	8	0	5	7	9
10	50	15	1	512	1	7	10	8	4	15	7	7	9	3	8	15	7	100
100	3	8	50	1	7	8	2	10	0	15	512	5	512	1	100	7	100	15
7	4	5	2	100	8	50	6	4	4	8	7	512	50	4	100	256	15	512
9	10	2	4	1	9	0	256	7	4	4	0	15	8	4	100	8	6	512
50	6	9	15	3	256	256	5	4	256	6	100	8	6	100	5	6	3	2
7	50	3	9	50	3	50	4	3	15	6	0	2	2	512	7	100	7	2
0	15	5	7	256	15	6	7	256	2	5	3	3	256	512	7	2	1	5
15	256	256	6	15	7	15	6	10	6	100	4	8	8	100	7	0	10	10
512	0	6	4	9	1	4	10	50	7	3	9	512	256	15	1	512	3	10
1	256	100	2	8	0	100	512	5	1	0	0	10	0	1	256	3	15	7
1	7	256	6	512	256	1	5	1	2	0	15	100	9	9	7	9	15	9
100	10	15	9	7	6	50	8	5	256	2	256	50	5	256	50	1	256	4
3	5	4	100	0	0	3	256	0	8	100	5	5	512	9	512	100	4	512
50	100	9	100	4	10	4	512	10	7	4	1	256	5	4	15	100	4	50
5	0	256	0	8	100	100	2	50	7	8	100	5	1	0	100	1	3	50
15	6	256	512	2	512	5	256	512	15	2	15	9	7	7	50	9	5	8
0	2	512	0	8	10	3	4	10	5	9	15	9	512	2	1	5	100	6
6	2	2	50	7	8	1	512	1	3	6	2	1	2	15	6	5	9	0
512	100	1	1	1	4	15	256	8	512	1	2	7	50	6	10	8	50	4
0	512	100	0	5	15	512	5	1	512	3	1	15	3	256	9	10	8	8
10	50	4	7	2	2	9	3	100	7	8	1	1	0	4	2	15	9	2
6	0	0	15	256	50	6	3	15	512	1	8	512	10	1	8	8	3	3
8	15	1	1	4	6	4	10	512	512	8	5	9	6	3	50	256	4	5
15	256	100	7	4	512	1	0	8	50	15	512	4	8	8	2	5	9	4
6	4	5	15	1	7	512	1	4	8	0	9	7	9	100	4	5	8	9
256	256	4	256	4	256	100	9	9	2	512	256	5	1	512	5	3	100	1
50	15	256	8	7	256	5	1	4	5	100	256	1	512	5	512	256	15	4
8	50	50	8	4	3	0	100	0	15	10	9	50	50	6	15	50	2	3
7	2	100	1	2	0	5	9	8	9	6	7	9	5	3	8	50	4	512
10	9	0	8	512	15	10	6	6	10	9	6	9	5	5	4	512	10	15
9	0	6	3	6	5	512	9	9	1	256	10	50	100	3	4	7	1	10
512	10	256	50	9	512	100	1	2	0	10	10	512	2	5	50	50	0	9
3	8	10	5	100	50	8	50	2	10	0	3	100	7	10	1	7	6	50
7	6	0	256	10	50	7	15	0	6	256	0	5	0	50	7	1	9	5
9	0	0	9	256	4	10	2	512	6	6	256	3	4	8	7	5	100	2
512	1	50	512	15	15	256	3	256	256	4	10	6	4	7	512	10	10	100
3	1	8	15	50	1	7	100	50	15	50	2	3	256	256	3	100	9	3
10	6	7	10	9	9	8	9	7	4	50	5	5	8	50	6	9	100	100
256	100	3	512	50	0	2	50	3	10	2	0	3	4	3	7	1	9	10
0	0	7	9	512	8	50	8	2	1	5	8	8	8	15	100	10	10	3
0	3	9	7	0	3	256	512	512	512	100	1	3	3	10	256	100	2	256
512	8	10	6	4	3	10	3	1	1	100	4	3	10	7	8	100	9	2
9	512	0	100	3	0	256	5	50	8	8	3	9	100	9	1	7	4	3
10	15	15	4	6	7	6	2	6	5	100	5	3	7	7	2	100	10	15
7	4	50	5	8	9	4	15	6	4	4	3	50	6	100	512	8	5	2
512	15	9	4	256	512	9	256	1	6	8	8	100	8	0	0	10	9	2
2	7	50	3	1	0	512	2	256	9	5	5	0	1	1	9	5	15	7
5	2	6	10	15	4	512	2	0	1	15	100	9	8	512	10	100	512	5
15	256	9	5	5	4	4	4	50	2	512	50	50	8	6	10	512	512	50
10	10	8	2	0	1	2	0	100	3	512	2	10	6	512	10	5	6	15
100	5	4	6	7	15	512	8	100	512	4	1	50	10	0	5	7	4	6
0	10	5	512	0	100	4	3	9	5	7	50	256	9	7	9	9	10	4
8	10	512	50	4	7	100	100	6	8	256	2	4	6	4	5	512	100	2
4	6	6	0	15	0	9	7	2	4	9	0	100	50	1	7	10	100	15
100	5	256	50	512	8	512	50	9	7	15	10	3	100	1	7	10	6	50
2	50	0	512	256	6	100	1	0	6	1	9	4	2	7	15	3	50	512
3	512	2	7	5	100	8	6	50	100	7	3	100	50	0	100	2	1	100
100	3	0	2	2	256	7	4	50	2	2	6	0	0	1	15	15	6	1
4	256	512	5	2	10	512	512	50	1	8	8	100	3	9	1	7	7	10
1	3	100	8	3	5	6	100	5	1	5	5	8	0	4	50	50	512	8
100	9	3	5	256	6	50	256	8	15	5	15	2	4	0	2	50	100	100
7	10	50	1	3	6	8	4	8	1	512	15	6	8	100	256	6	2	8
50	15	2	0	512	50	256	15	6	1	10	5	7	6	2	6	6	15	1
4	9	10	9	9	3	1	4	50	1	10	3	512	10	10	1	10	15	9
0	1	15	4	0	10	50	4	256	1	512	0	5	50	8	4	4	5	9
10	10	100	0	0	8	8	1	8	50	0	256	7	0	6	2	0	4	10
3	8	7	256	7	512	50	4	3	50	2	6	3	6	512	9	4	0	256
